Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"3 BHK Flat for Sale in Central Park The Orchard, Sector 32 Sohna, Gurgaon",3.75 Cr,2129 sqft,Central Park The Orchard,Semi-Furnished,1,3,Central Park The Orchard
"3 BHK Flat for Sale in Tulip Yellow, Sector 69, Gurgaon",1.45 Cr,1704 sqft,Tulip Yellow,Unfurnished,1,3,Tulip Yellow
"2 BHK Flat for Sale in Eldeco Acclaim, Sohna, Gurgaon",1.09 Cr,849 sqft,Eldeco Acclaim,Unfurnished,N/A,2,Eldeco Acclaim
"4 BHK Flat for Sale in Paras Quartier, Faridabad Gurgaon Road, Gurgaon",9.60 Cr,6000 sqft,Paras Quartier,Furnished,1,5,Paras Quartier
"3 BHK Flat for Sale in Ashiana Anmol Phase 3, Sector 33 Sohna, Gurgaon",1.43 Cr,996 sqft,Ashiana Anmol Phase 3,Unfurnished,1,3,Ashiana Anmol Phase 3
"3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",1.06 Cr,1420 sqft,Signature Global City 93,Semi-Furnished,1,2,Signature Global City 93
"4 BHK Flat for Sale in BPTP Terra, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",2.08 Cr,1998 sqft,BPTP Terra,Semi-Furnished,1,3,BPTP Terra
"4 BHK Flat for Sale in SBTL Caladium, Sector 109, Gurgaon",2.25 Cr,3250 sqft,SBTL Caladium,Unfurnished,N/A,4,SBTL Caladium
"4 BHK Flat for Sale in Hero Homes, Sector 104, Gurgaon",4.29 Cr,2450 sqft,Hero Homes,Unfurnished,1,4,Hero Homes
"4 BHK Flat for Sale in Luxury Floors, Phase 1 DLF, Gurgaon",6 Cr,4518 sqft,Luxury Floors,Semi-Furnished,1,4,Luxury Floors
"3 BHK Flat for Sale in Tata La Vida, Sector 113, Gurgaon",3.19 Cr,1578 sqft,Tata La Vida,Unfurnished,1,2,Tata La Vida
"4 BHK Flat for Sale in Luxury Floors, Phase 2 DLF, Gurgaon",5.75 Cr,4518 sqft,Luxury Floors,Semi-Furnished,1,4,Luxury Floors
"3 BHK Flat for Sale in Smart World Gems, Sector 89, Gurgaon",1.12 Cr,1423 sqft,Smart World Gems,Semi-Furnished,1,3,Smart World Gems
"3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon",1.93 Cr,1503 sqft,Sector 106,Semi-Furnished,1,3,MRG Crown
"3 BHK Flat for Sale in SS Cendana, Sector 83, Gurgaon",1.39 Cr,1450 sqft,SS Cendana,Semi-Furnished,1,3,SS Cendana
"4 BHK Flat for Sale in Samsara Avasa, Sector 63, Gurgaon",3.90 Cr,1476 sqft,Sector 63,Semi-Furnished,1,4,Samsara Avasa
"3 BHK Flat for Sale in Mahindra Luminare, Sector 59, Gurgaon",5 Cr,3106 sqft,Sector 59,Semi-Furnished,1,4,Mahindra Luminare
"3 BHK Flat for Sale in M3M Crown Phase 1, Sector 111, Gurgaon",2.37 Cr,1555 sqft,Sector 111,Unfurnished,1,3,M3M Crown Phase 1
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville, Sector 102, Gurgaon",1.99 Cr,1692 sqft,Sector 102,Semi-Furnished,N/A,3,Shapoorji Pallonji Joyville
"3 BHK Flat for Sale in Mahindra Luminare, Sector 59, Gurgaon",5.70 Cr,3025 sqft,Sector 59,Unfurnished,1,4,Mahindra Luminare
"3 BHK Flat for Sale in SS Cendana, Sector 83, Gurgaon",1.58 Cr,1850 sqft,Sector 83,Semi-Furnished,1,3,SS Cendana
"2 BHK Flat for Sale in Tata La Vida, Sector 113, Gurgaon",1.55 Cr,1276 sqft,Sector 113,Unfurnished,N/A,2,Tata La Vida
"3 BHK Flat for Sale in Vatika Sovereign Next, Sector 82A, Gurgaon",3.57 Cr,2650 sqft,Vatika Sovereign Next,Unfurnished,N/A,3,Vatika Sovereign Next
"3 BHK Flat for Sale in M3M Skycity, Sector 65, Gurgaon",3.20 Cr,1450 sqft,Sector 65,Semi-Furnished,1,4,M3M Skycity
"1 BHK Flat for Sale in Bellavista, Sector 48, Gurgaon",3.30 Cr,1000 sqft,Sector 48,Furnished,2,1,Bellavista
"3 BHK Flat for Sale in Chintamani, Sector 103, Gurgaon",1.77 Cr,1845 sqft,Sector 103,Semi-Furnished,2,3,Chintamani
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville, Sector 102, Gurgaon",1.90 Cr,1022 sqft,Sector 102,Furnished,1,3,Shapoorji Pallonji Joyville
"4 BHK Flat for Sale in Trump Tower, Sector 65, Gurgaon",11 Cr,3580 sqft,Sector 65,Semi-Furnished,3,4,Trump Tower
"2 BHK Flat for Sale in Godrej Meridien, Sector 106, Gurgaon",1.60 Cr,1366 sqft,Sector 106,Semi-Furnished,1,2,Godrej Meridien
"3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",1.55 Cr,1826 sqft,Sector 93,Unfurnished,N/A,3,Signature Global City 93
"3 BHK Flat for Sale in Godrej Nature Plus, Sector 33 Sohna, Gurgaon",1.55 Cr,1100 sqft,Sector 33 Sohna,Unfurnished,1,3,Godrej Nature Plus
"4 BHK Flat for Sale in Godrej Air, Sector 85, Gurgaon",2.75 Cr,2599 sqft,Sector 85,Semi-Furnished,2,4,Godrej Air
"3 BHK Flat for Sale in Trehan Luxury Floors, Sector 63A, Gurgaon",2.15 Cr,1600 sqft,Sector 63A,Semi-Furnished,1,3,Trehan Luxury Floors
"3 BHK Flat for Sale in M3M Skycity, Sector 65, Gurgaon",2.68 Cr,2054 sqft,Sector 65,Semi-Furnished,1,3,M3M Skycity
"3 BHK Flat for Sale in Hero Homes, Sector 104, Gurgaon",1.40 Cr,1389 sqft,Sector 104,Semi-Furnished,1,3,Hero Homes
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville, Sector 102, Gurgaon",1.90 Cr,1480 sqft,Sector 102,Semi-Furnished,2,3,Shapoorji Pallonji Joyville
"3 BHK Flat for Sale in Urban Oasis, Sector 62, Gurgaon",3.75 Cr,1343 sqft,Sector 62,Semi-Furnished,2,3,Urban Oasis
"3 BHK Flat for Sale in Whiteland Blissville, Sector 76, Delhi Gurgaon Expressway, Gurgaon",1.85 Cr,1672 sqft,Sector 76,Semi-Furnished,1,3,Whiteland Blissville
"3 BHK Flat for Sale in Puri The Aravallis, Sector 61, Gurgaon",4.18 Cr,2250 sqft,Sector 61,Semi-Furnished,5,4,Puri The Aravallis
"3 BHK Flat for Sale in M3M Heights, Sector 65, Gurgaon",2.59 Cr,1450 sqft,Sector 65,Furnished,1,3,M3M Heights
"2 BHK Flat for Sale in Signature Global City 81, Sector 81A, NH 8, Gurgaon",99.1 Lac,1075 sqft,Sector 81A,Semi-Furnished,1,2,Signature Global City 81
"3 BHK Flat for Sale in Ireo Victory Valley, Sector 67A, Gurgaon",3.20 Cr,2350 sqft,Sector 67A,Semi-Furnished,2,4,Ireo Victory Valley
"3 BHK Flat for Sale in M3M Crown Phase 1, Sector 111, Gurgaon",2.75 Cr,2055 sqft,Sector 111,Furnished,2,3,M3M Crown Phase 1
"3 BHK Flat for Sale in Urban Oasis, Sector 62, Gurgaon",4.19 Cr,2266 sqft,Sector 62,Furnished,1,3,Urban Oasis
"3 BHK Flat for Sale in Hero Homes, Sector 104, Gurgaon",1.75 Cr,1689 sqft,Sector 104,Unfurnished,N/A,3,Hero Homes
"4 BHK Flat for Sale in DLF Garden City Floors, Sector 92, Gurgaon",1.55 Cr,250 sqyrd,Sector 92,Furnished,1,4,DLF Garden City Floors
"2 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",1.65 Cr,1508 sqft,Sector 62,Unfurnished,1,2,Emaar Digi Homes
"3 BHK Flat for Sale in Puri The Aravallis, Sector 61, Gurgaon",3.82 Cr,2250 sqft,Sector 61,Semi-Furnished,2,3,Puri The Aravallis
"3 BHK Flat for Sale in All Punjabi Welfare Association, Sector 23, Gurgaon",1.78 Cr,1250 sqft,Sector 23,Semi-Furnished,1,3,All Punjabi Welfare Association
"2 BHK Flat for Sale in M3M Heights, Sector 65, Gurgaon",2.40 Cr,1433 sqft,Sector 65,Unfurnished,1,2,M3M Heights
"3 BHK Flat for Sale in M3M Antalya Hills Phase I, Sector 79, Gurgaon",1.55 Cr,1534 sqft,Sector 79,Unfurnished,1,3,M3M Antalya Hills Phase I
"3 BHK Flat for Sale in Tulip Monsella, Sector 53, Gurgaon",7.75 Cr,2874 sqft,Sector 53,Unfurnished,N/A,3,Tulip Monsella
"4 BHK Flat for Sale in Malibu Town, Sector 47, Gurgaon",3.40 Cr,2450 sqft,Sector 47,Semi-Furnished,2,4,N/A
"4 BHK Flat for Sale in Legacy Home, Sushant Lok, Gurgaon",3.10 Cr,300 sqyrd,Sushant Lok,Semi-Furnished,2,4,Legacy Home
"3 BHK Flat for Sale in Sector 23 RWA, Sector 23, Gurgaon",2.39 Cr,2100 sqft,Sector 23,Semi-Furnished,2,3,Sector 23 RWA
"4 BHK Flat for Sale in Sushant Lok, Gurgaon",2.60 Cr,1634 sqft,Gurgaon,Furnished,2,4,N/A
"3 BHK Flat for Sale in DLF City Phase V, Phase 5 DLF, Gurgaon",3.59 Cr,2000 sqft,Phase 5 DLF,Furnished,2,4,DLF City Phase V
"4 BHK Flat for Sale in Emerald Floors Premier, Sector 65, Gurgaon",3 Cr,1650 sqft,Sector 65,Semi-Furnished,1,3,Emerald Floors Premier
"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",3.30 Cr,3200 sqft,Sector 48,Semi-Furnished,3,5,Vipul World
"3 BHK Flat for Sale in Emaar Emerald Hills, Sector 65, Gurgaon",2.25 Cr,1200 sqft,Sector 65,Semi-Furnished,1,3,Emaar Emerald Hills
"3 BHK Flat for Sale in Unitech South City II, Sector 49, Gurgaon",1.60 Cr,1400 sqft,Sector 49,Semi-Furnished,2,3,Unitech South City II
"3 BHK Flat for Sale in Emerald Floors Premier, Sector 65, Gurgaon",2.65 Cr,1400 sqft,Sector 65,Unfurnished,2,3,Emerald Floors Premier
"2 BHK Flat for Sale in IREO Uptown, Badshahpur, Gurgaon",1.70 Cr,1000 sqft,Badshahpur,Semi-Furnished,2,3,IREO Uptown
"3 BHK Flat for Sale in Emaar Digi Homes, Sector 62, Gurgaon",4.20 Cr,1508 sqft,Sector 62,Semi-Furnished,2,4,Emaar Digi Homes
"3 BHK Flat for Sale in Vatika City, Ghasola, Sector 49, Gurgaon",3.10 Cr,2150 sqft,Ghasola,Semi-Furnished,2,3,Vatika City
"3 BHK Flat for Sale in South City II, Gurgaon",2.65 Cr,1550 sqft,Gurgaon,Semi-Furnished,1,4,N/A
"3 BHK Flat for Sale in DLF The Primus, Sector 82A, Gurgaon",2.10 Cr,1818 sqft,Sector 82A,Semi-Furnished,1,3,DLF The Primus
"3 BHK Flat for Sale in Sushant Lok, Gurgaon",2.20 Cr,1430 sqft,Gurgaon,Unfurnished,2,3,N/A
"3 BHK Flat for Sale in Pioneer Park, Sector 61, Gurgaon",2.80 Cr,1990 sqft,Sector 61,Semi-Furnished,2,3,Pioneer Park
"4 BHK Flat for Sale in DLF Crest, Sector 54, Gurgaon",12.50 Cr,2700 sqft,Sector 54,Semi-Furnished,3,5,DLF Crest
"3 BHK Flat for Sale in Central Park 1, Sector 42, Gurgaon",3.50 Cr,1560 sqft,Sector 42,Semi-Furnished,2,3,Central Park 1
"4 BHK Flat for Sale in South City II, Gurgaon",1.99 Cr,2700 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"3 BHK Flat for Sale in Puri Diplomatic Greens, Sector 111, Gurgaon",2.32 Cr,1810 sqft,Sector 111,Unfurnished,2,3,Puri Diplomatic Greens
"3 BHK Flat for Sale in DLF The Primus, Sector 82A, Gurgaon",2.40 Cr,1500 sqft,Sector 82A,Semi-Furnished,1,3,DLF The Primus
"4 BHK Flat for Sale in Suncity, Sector 54, DLF Golf Course Road, Gurgaon",1.80 Cr,1340 sqft,Sector 54,Semi-Furnished,1,4,N/A
"4 BHK Flat for Sale in Uppal Southend, Sector 49, Gurgaon",1.95 Cr,2800 sqft,Sector 49,Furnished,2,4,Uppal Southend
"5 BHK Flat for Sale in Phase 1 DLF, Gurgaon",9.90 Cr,500 sqyrd,Gurgaon,Semi-Furnished,2,5,N/A
"3 BHK Flat for Sale in Anant Raj Estate, Sector 63A, Gurgaon",2.10 Cr,1900 sqft,Sector 63A,Semi-Furnished,2,3,Anant Raj Estate
"3 BHK Flat for Sale in Shapoorji Pallonji Joyville, Sector 102, Gurgaon",2.08 Cr,1877 sqft,Sector 102,Semi-Furnished,N/A,3,Shapoorji Pallonji Joyville
"3 BHK Flat for Sale in Adani Samsara Vilasa, Sector 63, Gurgaon",4.22 Cr,1870 sqft,Sector 63,Semi-Furnished,1,3,Adani Samsara Vilasa
"5 BHK Flat for Sale in Independent Floors at DLF City Phase I and III, Phase 3 DLF, Gurgaon",6.22 Cr,3280 sqft,Phase 3 DLF,Semi-Furnished,1,4,Independent Floors at DLF City Phase I and III
"3 BHK Flat for Sale in M3M Capital, Sector 113, Gurgaon",2.50 Cr,1650 sqft,Sector 113,Unfurnished,1,3,M3M Capital
"2 BHK Flat for Sale in Eldeco Acclaim, Sohna, Gurgaon",92 Lac,1269 sqft,Sohna,Unfurnished,N/A,2,Eldeco Acclaim
"3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",1.24 Cr,1387 sqft,Sector 93,Semi-Furnished,1,3,Signature Global City 93
"4 BHK Flat for Sale in Sector 51, Gurgaon",3.10 Cr,1846 sqft,Gurgaon,Furnished,2,4,N/A
"3 BHK Flat for Sale in Tulip Monsella, Sector 53, Gurgaon",6.50 Cr,2892 sqft,Sector 53,Semi-Furnished,2,4,Tulip Monsella
"3 BHK Flat for Sale in Birla Navya, Sector 63A, Gurgaon",2.50 Cr,1300 sqft,Sector 63A,Semi-Furnished,2,3,Birla Navya
"4 BHK Flat for Sale in Block A Sushant Lok Phase I, Gurgaon",3.20 Cr,2650 sqft,Gurgaon,Semi-Furnished,3,4,N/A
"4 BHK Flat for Sale in Indiabulls Enigma, Sector 110, Gurgaon",3.64 Cr,3000 sqft,Sector 110,Semi-Furnished,1,4,Indiabulls Enigma
"4 BHK Flat for Sale in Unitech Heritage City, Mehrauli Gurgaon Road, Gurgaon",4.24 Cr,3000 sqft,Mehrauli Gurgaon Road,Unfurnished,N/A,4,Unitech Heritage City
"4 BHK Flat for Sale in Adani Brahma Samsara, Sector 63, Gurgaon",4.65 Cr,2321 sqft,Sector 63,Unfurnished,2,4,Adani Brahma Samsara
"3 BHK Flat for Sale in Corona Gracieux, Sector 76, Delhi Gurgaon Expressway, Gurgaon",1.05 Cr,1141 sqft,Sector 76,Semi-Furnished,2,3,Corona Gracieux
"3 BHK Villa for Sale in Unitech Nirvana Villas, Nirvana Country, Sector 50 Gurgaon",7.25 Cr,2700 sqft,Nirvana Country,Semi-Furnished,2,3,Unitech Nirvana Villas
"3 BHK Flat for Sale in Emaar Gurgaon Greens, Gurgaon Delhi Expressway, Gurgaon",1.56 Cr,1100 sqft,Gurgaon Delhi Expressway,Unfurnished,1,3,Emaar Gurgaon Greens
"3 BHK Flat for Sale in Unitech Escape, Nirvana Country, Sector 50, Gurgaon",2.60 Cr,1780 sqft,Nirvana Country,Semi-Furnished,2,3,Unitech Escape
"3 BHK Flat for Sale in Bestech Park View City 2, Sector 49, Gurgaon",2.30 Cr,1500 sqft,Sector 49,Semi-Furnished,1,3,Bestech Park View City 2
"4 BHK Flat for Sale in Sector 67A, Gurgaon",2.25 Cr,1650 sqft,Gurgaon,Unfurnished,N/A,4,N/A
"4 BHK Flat for Sale in Ireo Victory Valley, Sector 67, Gurgaon",5.15 Cr,3192 sqft,Sector 67,Semi-Furnished,2,4,Ireo Victory Valley
"4 BHK Flat for Sale in Sector 40, Gurgaon",2.60 Cr,2900 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"4 BHK Flat for Sale in ATS Triumph, Sector 104, Gurgaon",2.75 Cr,3150 sqft,Sector 104,Semi-Furnished,1,4,ATS Triumph
"2 BHK Flat for Sale in M3M Antalya Hills Phase II, Sector 79, Gurgaon",1.03 Cr,938 sqft,Sector 79,Semi-Furnished,1,2,M3M Antalya Hills Phase II
"3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",1.11 Cr,936 sqft,Sector 93,Semi-Furnished,1,3,Signature Global City 93
"4 BHK Flat for Sale in ATS Tourmaline, Sector 109, Gurgaon",5.35 Cr,3200 sqft,Sector 109,Unfurnished,3,4,ATS Tourmaline
"3 BHK Flat for Sale in Sector 57, Gurgaon",1.70 Cr,1500 sqft,Gurgaon,Semi-Furnished,N/A,3,N/A
"4 BHK Flat for Sale in Block F Sector 57, Gurgaon",2.30 Cr,2100 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"3 BHK Flat for Sale in Sector 83, Gurgaon",1.25 Cr,2583 sqft,Gurgaon,Unfurnished,1,3,N/A
"3 BHK Flat for Sale in DLF The Ultima, Sector 81, Gurgaon",2.15 Cr,1900 sqft,Sector 81,Unfurnished,1,3,DLF The Ultima
"4 BHK Flat for Sale in DLF New Town Heights 1, Sector 90, Gurgaon",2 Cr,2250 sqft,Sector 90,Unfurnished,N/A,5,DLF New Town Heights 1
"3 BHK Flat for Sale in Paras Dews, Sector 106, Gurgaon",1.35 Cr,1760 sqft,Sector 106,Unfurnished,N/A,4,Paras Dews
"3 BHK Flat for Sale in SS Linden Floors, Sector 84, Gurgaon",1.80 Cr,200 sqft,Sector 84,Semi-Furnished,N/A,4,SS Linden Floors
"4 BHK Flat for Sale in M3M Crown Phase 1, Sector 111, Gurgaon",3.30 Cr,1750 sqft,Sector 111,Semi-Furnished,2,5,M3M Crown Phase 1
"3 BHK Flat for Sale in Malibu Town, Malibu Town, Sector 47, Gurgaon",2 Cr,1357 sqft,Malibu Town,Semi-Furnished,2,3,Malibu Town
"2 BHK Flat for Sale in M3M Capital, Sector 113, Gurgaon",1.50 Cr,1100 sqft,Sector 113,Semi-Furnished,1,2,M3M Capital
"2 BHK Flat for Sale in The Melia, Sector 35 Sohna, Gurgaon",1.10 Cr,873 sqft,Sector 35 Sohna,Semi-Furnished,1,2,The Melia
"3 BHK Flat for Sale in Signature Global City 37D II, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1 Cr,2013 sqft,Sector 37D,Semi-Furnished,1,3,Signature Global City 37D II
9 BHK House for Sale in Sector 40 Gurgaon,4.90 Cr,1967 sqft,N/A,Semi-Furnished,3,9,N/A
"4 BHK Flat for Sale in Elevate, Sector 59, Gurgaon",6.11 Cr,1855 sqft,Sector 59,Semi-Furnished,2,4,Elevate
"3 BHK Flat for Sale in Signature Global City 37D, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",81.2 Lac,870 sqft,Sector 37D,Furnished,1,3,Signature Global City 37D
"2 BHK Flat for Sale in Central Park Flower Valley, Sohna, Gurgaon",1.25 Cr,1093 sqft,Sohna,Semi-Furnished,1,2,Central Park Flower Valley
"2 BHK Flat for Sale in Godrej Aria, Sector 79, Gurgaon",1.27 Cr,809 sqft,Sector 79,Semi-Furnished,1,2,Godrej Aria
"3 BHK Flat for Sale in Anant Raj Estate, Sector 63A, Gurgaon",2.10 Cr,1632 sqft,Sector 63A,Semi-Furnished,1,3,Anant Raj Estate
"4 BHK Flat for Sale in Phase 1 DLF, Gurgaon",4.50 Cr,3000 sqft,Gurgaon,Semi-Furnished,3,5,N/A
"4 BHK Flat for Sale in DLF City Independent Floors, DLF Cyber City, Gurgaon",4.58 Cr,3859 sqft,DLF Cyber City,Semi-Furnished,2,5,DLF City Independent Floors
"2 BHK Flat for Sale in M3M Heights, Sector 65, Gurgaon",2.23 Cr,1200 sqft,Sector 65,Semi-Furnished,1,2,M3M Heights
"3 BHK Flat for Sale in Anant Raj Estate Plots, Sector 63A, Gurgaon",2.10 Cr,1611 sqft,Sector 63A,Unfurnished,2,3,Anant Raj Estate Plots
"3 BHK Flat for Sale in Whiteland Blissville, Sector 76, Delhi Gurgaon Expressway, Gurgaon",1.52 Cr,1126 sqft,Sector 76,Semi-Furnished,1,3,Whiteland Blissville
"4 BHK Flat for Sale in Assotech Blith, Sector 99, Gurgaon",2.20 Cr,1643 sqft,Sector 99,Semi-Furnished,3,4,Assotech Blith
"2 BHK Flat for Sale in M3M Capital, Sector 113, Gurgaon",1.96 Cr,1310 sqft,Sector 113,Semi-Furnished,1,2,M3M Capital
"3 BHK Flat for Sale in Godrej Aria, Sector 79, Gurgaon",2.30 Cr,1700 sqft,Sector 79,Semi-Furnished,1,3,Godrej Aria
"3 BHK Flat for Sale in Daulatabad, Gurgaon",1.68 Cr,1350 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"4 BHK Flat for Sale in Block C Sushant Lok Phase I, Gurgaon",3 Cr,2200 sqft,Gurgaon,Semi-Furnished,2,4,N/A
"5 BHK Villa for Sale in Sobha International City, Sector 109 Gurgaon",6.75 Cr,4000 sqft,Sector 109 Gurgaon,Unfurnished,2,6,Sobha International City
"3 BHK Flat for Sale in Sector 57, Gurgaon",1.65 Cr,1250 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"2 BHK Flat for Sale in Ashiana Anmol Phase 3, Sector 33 Sohna, Gurgaon",1.02 Cr,914 sqft,Sector 33 Sohna,Semi-Furnished,1,2,Ashiana Anmol Phase 3
"3 BHK Flat for Sale in Elevate, Sector 59, Gurgaon",3.35 Cr,1381 sqft,Sector 59,Semi-Furnished,1,3,Elevate
"4 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",7.66 Cr,3019 sqft,Sector 76,Semi-Furnished,1,4,Whiteland The ASPEN
"3 BHK Flat for Sale in Signature Global City 81, Sector 81, Gurgaon",1.25 Cr,1190 sqft,Sector 81,Unfurnished,1,2,Signature Global City 81
"3 BHK Flat for Sale in Mahindra Luminare, Sector 59, Gurgaon",5.60 Cr,2900 sqft,Sector 59,Semi-Furnished,2,3,Mahindra Luminare
"3 BHK Flat for Sale in The Orchard, Sector 32 Sohna, Gurgaon",3.78 Cr,1351 sqft,Sector 32 Sohna,Semi-Furnished,2,3,The Orchard
"4 BHK Flat for Sale in Smart World Gems, Sector 82A, Gurgaon",1.20 Cr,1200 sqft,Sector 82A,Semi-Furnished,1,3,Smart World Gems
"4 BHK Flat for Sale in Block B Sushant Lok Phase I, Gurgaon",3.15 Cr,2650 sqft,Gurgaon,Semi-Furnished,N/A,4,N/A
"2 BHK Flat for Sale in Eldeco Accolade, Sohna, Gurgaon",1 Cr,726 sqft,Sohna,Unfurnished,N/A,2,Eldeco Accolade
"3 BHK Flat for Sale in Ramprastha Primera, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",1.16 Cr,1400 sqft,Sector 37D,Unfurnished,N/A,2,Ramprastha Primera
"3 BHK Flat for Sale in Hero Homes, Sector 104, Gurgaon",1.80 Cr,1689 sqft,Sector 104,Semi-Furnished,1,3,Hero Homes
"3 BHK Flat for Sale in Hero Homes, Northern Peripheral Road, Gurgaon",1.50 Cr,1359 sqft,Northern Peripheral Road,Unfurnished,1,3,Hero Homes
"4 BHK Flat for Sale in DLF The Arbour, Sector 63, Gurgaon",7.42 Cr,3700 sqft,Sector 63,Semi-Furnished,1,5,DLF The Arbour
"3 BHK Flat for Sale in Signature Global City 92, Sector 92, Gurgaon",52.7 Lac,959 sqft,Sector 92,Semi-Furnished,1,3,Signature Global City 92
"2 BHK Flat for Sale in Godrej 101, Sector 79, Gurgaon",1.02 Cr,1070 sqft,Sector 79,Semi-Furnished,2,2,Godrej 101
"4 BHK Flat for Sale in Uppal Southend Plots, Uppal Southend, Sector 49, Sohna Road, Gurgaon",3.45 Cr,2100 sqft,Uppal Southend,Unfurnished,2,5,Uppal Southend Plots
"2 BHK Flat for Sale in Godrej Meridien, Sector 106, Gurgaon",1.63 Cr,980 sqft,Sector 106,Semi-Furnished,1,2,Godrej Meridien
"5 BHK Flat for Sale in Unitech Nirvana Country, Sector 50, Gurgaon",5.40 Cr,3300 sqft,Sector 50,Semi-Furnished,3,5,Unitech Nirvana Country
"3 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",2.15 Cr,1400 sqft,Sector 61,Semi-Furnished,1,3,Smart World Orchard
"4 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",4.25 Cr,2290 sqft,Sector 76,Furnished,2,6,Whiteland The ASPEN
"3 BHK Flat for Sale in Signature Global Park 4 and 5, Sector 36 Sohna, Gurgaon",85 Lac,140 sqyrd,Sector 36 Sohna,Semi-Furnished,1,2,Signature Global Park 4 and 5
